,AbilityAfterAnswer,Correct,ExerciseId,LearningObjectiveId,SubmitDateTime,UserId
0,439,0,206485,673,2018-04-21 15:41:37.894751,3057
1,800,1,275954,674,2018-04-21 15:41:37.894818,3021
2,530,0,132677,671,2018-04-21 15:41:37.894854,3054
3,457,1,192364,673,2018-04-21 15:41:37.894889,3004
4,269,1,168926,680,2018-04-21 15:41:37.894920,3050
5,896,1,120573,671,2018-04-21 15:41:37.894950,3039
6,795,1,286926,678,2018-04-21 15:41:37.894980,3018
7,337,1,246138,671,2018-04-21 15:41:37.895010,3055
8,587,0,106596,680,2018-04-21 15:41:37.895040,3066
9,788,1,151564,680,2018-04-21 15:41:37.895088,3088
10,554,0,230227,675,2018-04-21 15:41:37.895114,3072
11,748,1,144459,670,2018-04-21 15:41:37.895139,3068
12,825,0,255628,676,2018-04-21 15:41:37.895163,3036
13,793,1,102276,679,2018-04-21 15:41:37.895187,3031
14,733,1,190513,674,2018-04-21 15:41:37.895210,3032
15,976,1,203215,675,2018-04-21 15:41:37.895234,3066
16,695,1,255788,673,2018-04-21 15:41:37.895275,3065
17,647,1,239389,676,2018-04-21 15:41:37.895303,3093
18,653,1,177313,679,2018-04-21 15:41:37.895328,3036
19,463,1,104658,678,2018-04-21 15:41:37.895352,3055
20,846,0,208650,680,2018-04-21 15:41:37.895377,3026
21,454,1,169526,671,2018-04-21 15:41:37.895401,3001
22,156,1,110929,679,2018-04-21 15:41:37.895425,3019
23,715,1,111299,673,2018-04-21 15:41:37.895448,3031
24,480,0,294164,672,2018-04-21 15:41:37.895472,3027
25,616,1,143258,676,2018-04-21 15:41:37.895495,3079
26,391,0,153485,670,2018-04-21 15:41:37.895520,3040
27,104,1,206499,680,2018-04-21 15:41:37.895544,3044
28,750,0,159010,675,2018-04-21 15:41:37.895568,3031
29,187,0,201930,680,2018-04-21 15:41:37.895592,3020
30,471,0,122724,677,2018-04-21 15:41:37.895616,3089
31,934,0,139713,673,2018-04-21 15:41:37.895641,3088
32,826,0,153840,670,2018-04-21 15:41:37.895664,3056
33,679,0,258674,674,2018-04-21 15:41:37.895688,3072
34,383,1,238900,677,2018-04-21 15:41:37.895712,3008
35,756,0,207667,679,2018-04-21 15:41:37.895735,3044
36,454,0,289697,671,2018-04-21 15:41:37.895760,3040
37,853,1,138812,673,2018-04-21 15:41:37.895783,3052
38,865,1,150490,677,2018-04-21 15:41:37.895823,3013
39,285,0,111650,679,2018-04-21 15:41:37.895850,3071
40,670,1,286483,674,2018-04-21 15:41:37.895875,3027
41,682,0,195435,673,2018-04-21 15:41:37.895899,3042
42,491,1,192591,680,2018-04-21 15:41:37.895923,3036
43,356,1,278128,676,2018-04-21 15:41:37.895947,3005
44,369,0,232775,670,2018-04-21 15:41:37.895971,3007
45,144,0,170094,678,2018-04-21 15:41:37.895995,3088
46,600,1,229345,679,2018-04-21 15:41:37.896018,3070
47,225,1,152348,680,2018-04-21 15:41:37.896044,3008
48,199,0,105131,674,2018-04-21 15:41:37.896067,3039
49,775,0,250500,680,2018-04-21 15:41:37.896091,3011
50,660,1,269727,679,2018-04-21 15:41:37.896115,3055
51,326,0,238107,678,2018-04-21 15:41:37.896139,3099
52,667,1,221666,674,2018-04-21 15:41:37.896163,3032
53,964,0,200640,677,2018-04-21 15:41:37.896187,3011
54,110,1,192834,679,2018-04-21 15:41:37.896212,3051
55,628,0,295759,676,2018-04-21 15:41:37.896676,3061
56,754,1,143972,677,2018-04-21 15:41:37.896716,3054
57,650,0,119663,670,2018-04-21 15:41:37.896741,3020
58,473,0,232025,679,2018-04-21 15:41:37.896766,3082
59,444,0,130048,672,2018-04-21 15:41:37.896790,3085
60,604,1,229425,679,2018-04-21 15:41:37.896814,3030
61,514,1,101093,670,2018-04-21 15:41:37.896839,3079
62,358,0,220330,671,2018-04-21 15:41:37.896862,3069
63,746,1,291364,670,2018-04-21 15:41:37.896885,3024
64,547,0,176747,670,2018-04-21 15:41:37.896927,3032
65,669,1,211817,678,2018-04-21 15:41:37.896955,3085
66,555,1,275927,672,2018-04-21 15:41:37.896979,3100
67,789,1,101591,677,2018-04-21 15:41:37.897003,3085
68,192,0,109951,679,2018-04-21 15:41:37.897027,3050
69,266,0,195375,675,2018-04-21 15:41:37.897050,3001
70,846,1,187826,673,2018-04-21 15:41:37.897074,3021
71,339,0,199791,677,2018-04-21 15:41:37.897098,3098
72,237,0,236138,679,2018-04-21 15:41:37.897121,3008
73,846,0,237028,672,2018-04-21 15:41:37.897146,3028
74,129,1,160777,670,2018-04-21 15:41:37.897170,3097
75,614,1,126117,672,2018-04-21 15:41:37.897194,3001
76,365,1,224590,670,2018-04-21 15:41:37.897218,3018
77,128,1,198619,675,2018-04-21 15:41:37.897242,3041
78,818,1,213027,674,2018-04-21 15:41:37.897266,3047
79,258,1,242581,680,2018-04-21 15:41:37.897289,3032
80,532,1,216301,671,2018-04-21 15:41:37.897313,3071
81,146,0,202574,679,2018-04-21 15:41:37.897336,3089
82,577,0,199019,675,2018-04-21 15:41:37.897376,3072
83,763,1,128472,671,2018-04-21 15:41:37.897405,3100
84,757,1,243524,671,2018-04-21 15:41:37.897429,3010
85,801,0,274977,671,2018-04-21 15:41:37.897453,3032
86,736,0,184811,674,2018-04-21 15:41:37.897477,3038
87,752,0,268747,677,2018-04-21 15:41:37.897500,3024
88,914,0,151298,678,2018-04-21 15:41:37.897523,3090
89,730,0,290383,678,2018-04-21 15:41:37.897549,3073
90,270,1,237700,674,2018-04-21 15:41:37.897572,3073
91,409,0,242934,675,2018-04-21 15:41:37.897596,3056
92,998,0,281085,675,2018-04-21 15:41:37.897635,3097
93,353,0,180044,673,2018-04-21 15:41:37.897716,3029
94,567,0,235006,670,2018-04-21 15:41:37.897774,3062
95,623,0,189341,677,2018-04-21 15:41:37.897814,3058
96,936,0,264317,679,2018-04-21 15:41:37.897852,3030
97,147,0,264914,677,2018-04-21 15:41:37.897889,3006
98,354,1,211578,671,2018-04-21 15:41:37.897925,3003
99,494,1,100824,676,2018-04-21 15:41:37.897961,3005
100,580,0,139907,680,2018-04-21 15:41:37.897997,3036
101,944,1,152208,676,2018-04-21 15:41:37.898033,3058
102,958,1,284980,673,2018-04-21 15:41:37.898071,3083
103,555,0,284835,674,2018-04-21 15:41:37.898124,3056
104,774,0,273998,671,2018-04-21 15:41:37.898145,3043
105,221,0,286892,674,2018-04-21 15:41:37.898163,3049
106,686,1,123401,678,2018-04-21 15:41:37.898180,3048
107,858,0,215301,674,2018-04-21 15:41:37.898199,3022
108,701,1,117871,680,2018-04-21 15:41:37.898217,3085
109,390,1,253530,679,2018-04-21 15:41:37.898235,3016
110,593,1,220755,676,2018-04-21 15:41:37.898252,3097
111,530,1,229313,677,2018-04-21 15:41:37.898271,3081
112,179,0,138854,678,2018-04-21 15:41:37.898289,3022
113,314,0,139064,675,2018-04-21 15:41:37.898306,3066
114,286,0,262875,672,2018-04-21 15:41:37.898324,3008
115,801,1,170041,670,2018-04-21 15:41:37.898342,3095
116,667,1,128218,676,2018-04-21 15:41:37.898359,3045
117,208,1,149715,678,2018-04-21 15:41:37.898404,3051
118,758,1,245573,673,2018-04-21 15:41:37.898424,3090
119,708,1,209208,677,2018-04-21 15:41:37.898442,3012
120,118,1,199676,675,2018-04-21 15:41:37.898460,3027
121,506,1,248606,677,2018-04-21 15:41:37.898477,3087
122,631,0,231614,673,2018-04-21 15:41:37.898496,3016
123,984,1,255739,678,2018-04-21 15:41:37.898513,3026
124,558,1,285466,672,2018-04-21 15:41:37.898530,3028
125,101,0,190860,679,2018-04-21 15:41:37.898548,3034
126,556,1,161756,672,2018-04-21 15:41:37.898578,3044
